DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos_medicion.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 15/11/2021 10:58:40
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
11:19:55;000:01;008;0195,3;+18,5;0992;019,68;0000
11:19:57;000:03;001;0197,4;+21,6;0994;019,86;0000
11:19:57;000:03;002;0197,8;+20,4;0994;019,90;0000
11:19:57;000:03;003;0195,0;+18,5;0993;019,64;0000
11:19:57;000:03;004;0199,1;+20,5;0992;020,07;0000
11:19:57;000:03;005;0197,6;+21,6;0994;019,88;0000
11:19:57;000:03;006;0198,3;+21,5;0993;019,97;0000
11:19:57;000:03;008;0195,3;+18,4;0992;019,68;0000
11:19:59;000:05;001;0197,4;+21,5;0994;019,86;0000
11:19:59;000:05;002;0197,8;+20,3;0994;019,90;0000
11:19:59;000:05;003;0195,0;+18,6;0993;019,64;0000
11:19:59;000:05;004;0199,0;+20,5;0992;020,07;0000
11:19:59;000:05;005;0197,6;+21,6;0994;019,88;0000
11:19:59;000:06;006;0198,3;+21,5;0993;019,97;0000
11:19:59;000:06;008;0195,3;+18,4;0992;019,68;0000
11:20:01;000:07;001;0197,4;+21,5;0994;019,86;0000
11:20:01;000:07;002;0197,8;+20,4;0994;019,90;0000
11:20:01;000:07;003;0195,0;+18,5;0993;019,64;0000
11:20:01;000:07;004;0199,0;+20,5;0992;020,07;0000
11:20:01;000:07;005;0197,6;+21,6;0994;019,88;0000
11:20:01;000:07;006;0198,3;+21,6;0993;019,97;0000
11:20:01;000:08;008;0195,3;+18,4;0992;019,68;0000
11:20:03;000:09;001;0197,4;+21,5;0994;019,86;0000
11:20:03;000:09;002;0197,8;+20,3;0994;019,90;0000
11:20:03;000:10;003;0195,0;+18,5;0993;019,63;0000
11:20:03;000:10;004;0199,0;+20,5;0992;020,06;0000
11:20:03;000:10;005;0197,6;+21,6;0994;019,88;0000
11:20:03;000:10;006;0198,3;+21,5;0993;019,97;0000
11:20:03;000:10;008;0195,3;+18,5;0992;019,68;0000
11:20:05;000:11;001;0197,4;+21,5;0994;019,86;0000
